General:;(343 respostas)
0 até 100;13,41%
100 até 200;11,08%
700 até 800;02,92%
500 até 600;04,96%
200 até 300;13,12%
800 até 900;02,04%
400 até 500;10,50%
1000+;13,12%
300 até 400;09,91%
0;09,62%
900 até 1000;05,25%
600 até 700;04,08%

Brasileiros:;(88.34%)
0 até 100;14,19%
100 até 200;11,88%
700 até 800;02,64%
500 até 600;04,62%
200 até 300;12,54%
800 até 900;02,31%
400 até 500;11,22%
1000+;11,88%
300 até 400;09,24%
0;09,90%
900 até 1000;05,28%
600 até 700;04,29%

Estrangeiros:;(11.66%)
0 até 100;07,50%
200 até 300;17,50%
300 até 400;15,00%
900 até 1000;05,00%
1000+;22,50%
400 até 500;05,00%
600 até 700;02,50%
100 até 200;05,00%
500 até 600;07,50%
0;07,50%
700 até 800;05,00%
